ranking_home,ranking_away,mean_points_per_match_tot_home,mean_points_per_match_tot_away,mean_points_per_match_in_location_home,mean_points_per_match_in_location_away,matches_won_tot_home,matches_won_tot_away,mean_shots_home,mean_shots_away,mean_shot_on_target_home,mean_shot_on_target_away,mean_fouls_home,mean_fouls_away,mean_yellow_cards_home,mean_yellow_cards_away,score_home,score_away,winners
3.0,9.0,1.5555555555555556,0.8888888888888888,2.0,0.8,0.3333333333333333,0.4444444444444444,13.88888888888889,9.777777777777779,5.444444444444445,2.6666666666666665,12.333333333333334,13.333333333333334,1.8888888888888888,3.2222222222222223,1.0,0.0,H
11.0,4.0,0.2222222222222222,1.6666666666666667,0.2,1.8,0.0,0.4444444444444444,12.666666666666666,15.777777777777779,3.111111111111111,5.111111111111111,11.444444444444445,16.0,1.6666666666666667,1.4444444444444444,0.0,3.0,A
6.0,9.0,1.3333333333333333,0.6666666666666666,1.75,1.0,0.4444444444444444,0.1111111111111111,14.333333333333334,11.777777777777779,4.555555555555555,3.111111111111111,10.444444444444445,12.0,1.5555555555555556,2.6666666666666665,3.0,2.0,H
1.0,10.0,2.6666666666666665,0.6666666666666666,2.8,0.6,0.7777777777777778,0.2222222222222222,13.777777777777779,11.444444444444445,6.333333333333333,3.4444444444444446,12.777777777777779,16.555555555555557,1.5555555555555556,1.8888888888888888,3.0,0.0,H
7.0,8.0,1.3333333333333333,0.8888888888888888,1.2,0.6,0.4444444444444444,0.1111111111111111,17.22222222222222,11.777777777777779,5.666666666666667,4.222222222222222,15.11111111111111,16.77777777777778,1.6666666666666667,1.8888888888888888,0.0,0.0,D
7.0,9.0,0.7777777777777778,0.5555555555555556,1.2,0.8,0.1111111111111111,0.2222222222222222,9.88888888888889,13.555555555555555,2.3333333333333335,3.6666666666666665,11.777777777777779,13.0,2.2222222222222223,2.111111111111111,0.0,1.0,A
6.0,5.0,1.5555555555555556,1.875,1.75,2.0,0.3333333333333333,0.75,12.11111111111111,16.25,4.444444444444445,5.25,14.222222222222221,10.75,1.8888888888888888,1.0,0.0,1.0,A
3.0,0.0,1.6666666666666667,3.0,2.0,3.75,0.2222222222222222,0.7777777777777778,12.333333333333334,16.11111111111111,4.333333333333333,6.444444444444445,13.222222222222221,11.11111111111111,2.4444444444444446,1.7777777777777777,2.0,6.0,A
2.0,2.0,2.0,2.0,2.4,1.2,0.8,0.5555555555555556,15.3,12.222222222222221,5.7,4.555555555555555,11.1,10.777777777777779,2.0,1.6666666666666667,3.0,2.0,H
3.0,11.0,1.7,0.6,2.1666666666666665,0.8,0.4,0.1,14.8,11.7,5.6,3.2,11.8,12.2,1.7,2.4,3.0,0.0,H
